Ceratocapnos heterocarpa	3603739
Jonopsidium acaule	4272712
Hornungia petraea	5376179
Sisymbrella aspera	3047402
Cynara cardunculus	3112364
Mercurialis tomentosa	3062973
Davallia canariensis	4204692
Cleome violacea	3872424
Crambe hispanica	5373475
Ophioglossum lusitanicum	2650128
Blechnum spicant	2651533
Asplenium marinum	7310912
Asplenium ruta-muraria	2650625
Asplenium hemionitis	7310665
Rapistrum rugosum	5373368
Atractylis gummifera	5391618
Cytinus ruber	3941138
Hedypnois arenaria	5394855
Crepis pusilla	5403341
Crepis foetida	5403470
Leucojum autumnale	2859333
Pistacia terebinthus	3190580
Iris planifolia	5298424
Pinguicula lusitanica	5667916
Crassula vaillantii	5689573
Sedum sediforme	5688347
Holcus lanatus	2706164
Biarum mendax	2870489
Juniperus turbinata	2684652
Bupleurum semicompositum	3636403
Bupleurum fruticosum	3638793
Eryngium corniculatum	3632410
Eryngium galioides	3631167
Prangos trifida	6026408
Distichoselinum tenuifolium	3636779
Lobularia maritima	5373358
Isolepis cernua	2713316
Centaurium tenuiflorum	6367342
Samolus valerandi	3169313
Adiantum capillus-veneris	2651816
Juncus articulatus	2701261
Armeria welwitschii	7136580
Ononis ramosissima	2977250
Plantago coronopus	3189739
Pancratium maritimum	2853283
Foeniculum vulgare	3034922
Pistacia lentiscus	3190583
Convolvulus althaeoides	2928400
Phagnalon saxatile	3150065
Asparagus albus	2769019
Armeria beirana	7297976
Cistus ladanifer	6437976
Frankenia laevis	7273513
Beta maritima	5383922
Lycium intricatum	3796884
Lactuca viminea	3140305
Lapsana communis	3134857
Osmunda regalis	2651328
Molinia caerulea	5289877
Wahlenbergia hederacea	5413552
Convolvulus arvensis	2928390
Arbutus unedo	2882803
Thymus villosus	7306547
Erica umbellata	7327792
Calluna vulgaris	2882482
Limodorum abortivum	5312179
Lavandula stoechas	2927303
Cistus crispus	3595767
Quercus suber	2879411
Ulex australis	2952002
Sagina apetala	3085405
Parietaria mauritanica	5669706
Hyoscyamus albus	2928979
Mercurialis elliptica	3062963
Scilla odorata	2767576
Malcolmia triloba	5373216
